tournament,timestamp,date_GMT,status,stadium_name,attendance,home_team_name,away_team_name,referee,Game Week,home_team_pre_match_ppg,away_team_pre_match_ppg,home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,home_team_xg,away_team_xg
FIFA World Cup,1402869600,Jun 15 2014 - 10:00pm,complete,Estadio Jornalista MÃ¡rio Filho (MaracanÃ£) (Rio de Janeiro- Rio de Janeiro),74738,Argentina,Bosnia-Herzegovina,,1,0,0,2.29,1,2,1,3,1,1,0,3;65,84,2,6,1,0,1,0,1,0,0,1,11,13,5,8,6,5,10,13,57,43,,
FIFA World Cup,1402934400,Jun 16 2014 - 4:00pm,complete,Arena Fonte Nova,51081,Germany,Portugal,,1,0,0,2.71,1.33,4,0,4,3,3,0,12;32;45+1;78,,4,6,0,0,1,1,0,0,2,0,10,11,4,5,6,6,8,10,55,45,,
FIFA World Cup,1402945200,Jun 16 2014 - 7:00pm,complete,EstÃ¡dio Joaquim AmÃ©rico GuimarÃ£es,39081,Iran,Nigeria,,1,0,0,0.33,1,0,0,0,0,0,0,,,2,7,1,0,0,0,0,1,0,0,7,12,3,7,4,5,18,17,25,75,,
FIFA World Cup,1402956000,Jun 16 2014 - 10:00pm,complete,Arena das Dunas,39760,Ghana,USA,,1,0,0,0.33,1,1,2,3,1,0,1,82,1;86,7,3,2,0,0,0,1,1,0,0,21,8,9,6,12,2,10,11,64,36,,
FIFA World Cup,1403020800,Jun 17 2014 - 4:00pm,complete,EstÃ¡dio Governador MagalhÃ£es Pinto,56800,Belgium,Algeria,,1,0,0,2.4,1,2,1,3,1,0,1,70;80,25,7,2,1,0,1,0,1,0,1,0,14,3,7,0,7,3,18,17,66,34,,
FIFA World Cup,1403031600,Jun 17 2014 - 7:00pm,complete,EstÃ¡dio Governador PlÃ¡cido Aderaldo Castelo,60342,Brazil,Mexico,,2,3,3,1.57,1.75,0,0,0,0,0,0,,,4,3,2,0,2,0,1,1,0,2,12,13,7,3,5,10,14,17,50,50,,
FIFA World Cup,1403042400,Jun 17 2014 - 10:00pm,complete,Arena Pantanal,37603,Russia,South Korea,,1,0,0,0.67,0.33,1,1,2,0,0,0,74,68,4,4,1,0,3,0,0,1,2,1,13,9,6,6,7,3,15,7,54,46,,
FIFA World Cup,1403107200,Jun 18 2014 - 4:00pm,complete,EstÃ¡dio JosÃ© Pinheiro Borda,42877,Australia,Netherlands,,2,0,3,0,2.43,2,3,5,2,1,1,21;54,20;58;68,3,2,1,0,1,0,1,0,0,1,6,8,3,7,3,1,17,21,50,50,,
FIFA World Cup,1403118000,Jun 18 2014 - 7:00pm,complete,Estadio Jornalista MÃ¡rio Filho (MaracanÃ£) (Rio de Janeiro- Rio de Janeiro),74101,Spain,Chile,,2,0,3,1,1.75,0,2,2,2,0,2,,19;43,7,1,1,0,2,0,1,0,1,1,18,6,9,3,9,3,14,13,63,37,,
FIFA World Cup,1403128800,Jun 18 2014 - 10:00pm,complete,Arena da AmazÃ´nia (Manaus- Amazonas),39982,Cameroon,Croatia,,2,0,0,0,1,0,4,4,1,0,1,,11;48;61;73,4,7,0,1,1,0,1,0,0,1,12,17,2,9,10,8,11,8,43,57,,
FIFA World Cup,1403193600,Jun 19 2014 - 4:00pm,complete,EstÃ¡dio Nacional de BrasÃ­lia (BrasÃ­lia- Distrito Federal),68748,Colombia,Ivory Coast,,2,3,3,2.4,1,2,1,3,0,0,0,64;70,73,5,5,0,0,2,0,0,0,0,2,8,13,5,6,3,7,12,13,40,60,,
FIFA World Cup,1403204400,Jun 19 2014 - 7:00pm,complete,Arena Corinthians,62575,Uruguay,England,,2,0,0,1.5,0.33,2,1,3,1,1,0,39;85,75,7,6,1,0,1,0,1,0,0,1,10,13,6,8,4,5,17,13,36,64,,
FIFA World Cup,1403215200,Jun 19 2014 - 10:00pm,complete,Arena das Dunas,39485,Japan,Greece,,2,0,0,0.33,1.25,0,0,0,0,0,0,,,5,7,1,0,3,1,1,0,2,2,13,11,6,7,7,4,24,17,69,31,,
FIFA World Cup,1403280000,Jun 20 2014 - 4:00pm,complete,Itaipava Arena Pernambuco,40285,Italy,Costa Rica,,2,3,3,1,1.8,0,1,1,1,0,1,,44,4,5,1,0,1,0,0,1,0,1,9,11,4,6,5,5,10,23,58,42,,
FIFA World Cup,1403290800,Jun 20 2014 - 7:00pm,complete,Arena Fonte Nova,51003,Switzerland,France,,2,3,3,1.5,2,2,5,7,3,0,3,81;87,17;18;40;67;73,5,3,0,0,1,0,0,0,0,1,15,15,4,7,11,8,11,15,59,41,,
FIFA World Cup,1403301600,Jun 20 2014 - 10:00pm,complete,EstÃ¡dio Joaquim AmÃ©rico GuimarÃ£es,39224,Honduras,Ecuador,,2,0,0,0,1.33,1,2,3,2,1,1,31,34;65,4,12,2,0,3,0,2,0,0,3,9,8,4,3,5,5,12,11,38,62,,
FIFA World Cup,1403366400,Jun 21 2014 - 4:00pm,complete,EstÃ¡dio Governador MagalhÃ£es Pinto,57698,Argentina,Iran,,2,3,1,2.29,0.33,1,0,1,0,0,0,90+1,,10,6,0,0,2,0,0,0,0,2,18,8,6,4,12,4,7,14,75,25,,
FIFA World Cup,1403377200,Jun 21 2014 - 7:00pm,complete,EstÃ¡dio Governador PlÃ¡cido Aderaldo Castelo,59621,Germany,Ghana,,2,3,0,2.71,0.33,2,2,4,0,0,0,51;71,54;63,7,3,0,0,1,0,0,0,0,1,10,14,3,6,7,8,11,17,60,40,,
FIFA World Cup,1403388000,Jun 21 2014 - 10:00pm,complete,Arena Pantanal,40499,Nigeria,Bosnia-Herzegovina,,2,1,0,1,1,1,0,1,1,1,0,29,,4,4,1,0,1,0,0,1,1,0,18,16,11,7,7,9,9,7,42,58,,
FIFA World Cup,1403452800,Jun 22 2014 - 4:00pm,complete,Estadio Jornalista MÃ¡rio Filho (MaracanÃ£) (Rio de Janeiro- Rio de Janeiro),73819,Belgium,Russia,,2,3,1,2.4,0.67,1,0,1,0,0,0,88,,5,8,2,0,1,0,0,2,1,0,7,10,4,4,3,6,13,7,53,47,,
FIFA World Cup,1403463600,Jun 22 2014 - 7:00pm,complete,EstÃ¡dio JosÃ© Pinheiro Borda,42732,South Korea,Algeria,,2,1,0,0.33,1,2,4,6,3,0,3,50;72,26;28;38;62,7,5,2,0,1,0,0,2,0,1,9,12,4,3,5,9,13,16,53,47,,
FIFA World Cup,1403474400,Jun 22 2014 - 10:00pm,complete,Arena da AmazÃ´nia (Manaus- Amazonas),40123,USA,Portugal,,2,3,0,1,1.33,2,2,4,1,0,1,64;81,5;90+5,6,4,1,0,0,0,0,1,0,0,12,17,7,6,5,11,10,13,48,52,,
FIFA World Cup,1403539200,Jun 23 2014 - 4:00pm,complete,EstÃ¡dio Joaquim AmÃ©rico GuimarÃ£es,39375,Australia,Spain,,3,0,0,0,1,0,3,3,1,0,1,,36;69;82,2,6,2,0,1,0,0,2,0,1,5,7,0,5,5,2,14,9,51,49,,
FIFA World Cup,1403539200,Jun 23 2014 - 4:00pm,complete,Arena Corinthians,62996,Netherlands,Chile,,3,3,3,2.43,1.75,2,0,2,0,0,0,77;90+2,,2,7,1,0,1,0,0,1,1,0,9,11,4,3,5,8,25,14,38,62,,
FIFA World Cup,1403553600,Jun 23 2014 - 8:00pm,complete,EstÃ¡dio Nacional de BrasÃ­lia (BrasÃ­lia- Distrito Federal),69112,Cameroon,Brazil,,3,0,2,0,1.57,1,4,5,3,1,2,26,17;34;49;84,6,7,3,0,0,0,1,2,0,0,9,13,0,9,9,4,14,18,48,52,,
FIFA World Cup,1403553600,Jun 23 2014 - 8:00pm,complete,Itaipava Arena Pernambuco,41212,Croatia,Mexico,,3,1.5,2,1,1.75,1,3,4,0,0,0,87,72;75;82,7,9,1,1,2,0,1,1,1,1,9,10,4,3,5,7,17,11,53,47,,
FIFA World Cup,1403625600,Jun 24 2014 - 4:00pm,complete,EstÃ¡dio Governador MagalhÃ£es Pinto,57823,Costa Rica,England,,3,3,0,1.8,0.33,0,0,0,0,0,0,,,3,7,1,0,2,0,0,1,0,2,4,9,3,4,1,5,17,14,44,56,,
FIFA World Cup,1403625600,Jun 24 2014 - 4:00pm,complete,Arena das Dunas,39706,Italy,Uruguay,,3,1.5,1.5,1,1.5,0,1,1,0,0,0,,81,3,3,2,1,2,0,1,2,0,2,8,12,4,5,4,7,19,19,54,46,,
FIFA World Cup,1403640000,Jun 24 2014 - 8:00pm,complete,Arena Pantanal,40340,Japan,Colombia,,3,0.5,3,0.33,2.4,1,4,5,2,1,1,45+1,17;55;82;89,9,2,1,0,1,0,1,0,0,1,20,16,9,10,11,6,8,18,58,42,,
FIFA World Cup,1403640000,Jun 24 2014 - 8:00pm,complete,EstÃ¡dio Governador PlÃ¡cido Aderaldo Castelo,59095,Greece,Ivory Coast,,3,0.5,1.5,1.25,1,2,1,3,1,1,0,42;90+3,74,4,7,0,0,3,0,0,0,1,2,11,9,3,4,8,5,9,21,50,50,,
FIFA World Cup,1403712000,Jun 25 2014 - 4:00pm,complete,EstÃ¡dio JosÃ© Pinheiro Borda,43285,Nigeria,Argentina,,3,2,3,1,2.29,2,3,5,3,1,2,4;47,3;45+1;50,4,12,2,0,0,0,0,2,0,0,7,16,3,11,4,5,16,6,46,54,,
FIFA World Cup,1403712000,Jun 25 2014 - 4:00pm,complete,Arena Fonte Nova,48011,Bosnia-Herzegovina,Iran,,3,0,0.5,1,0.33,3,1,4,1,1,0,23;59;83,82,6,5,1,0,1,0,0,1,0,1,8,5,4,3,4,2,18,16,59,41,,
FIFA World Cup,1403726400,Jun 25 2014 - 8:00pm,complete,Arena da AmazÃ´nia (Manaus- Amazonas),40322,Honduras,Switzerland,,3,0,1.5,0,1.5,0,3,3,2,0,2,,6;31;71,8,1,1,0,0,0,0,1,0,0,18,13,9,9,9,4,18,16,64,36,,
FIFA World Cup,1403726400,Jun 25 2014 - 8:00pm,complete,Estadio Jornalista MÃ¡rio Filho (MaracanÃ£) (Rio de Janeiro- Rio de Janeiro),73749,Ecuador,France,,3,1.5,3,1.33,2,0,0,0,0,0,0,,,1,7,1,1,0,0,0,2,0,0,8,17,4,10,4,7,15,6,33,67,,
FIFA World Cup,1403798400,Jun 26 2014 - 4:00pm,complete,EstÃ¡dio Nacional de BrasÃ­lia (BrasÃ­lia- Distrito Federal),67540,Portugal,Ghana,,3,0.5,0.5,1.33,0.33,2,1,3,1,1,0,30;80,57,7,4,1,0,3,0,0,1,1,2,17,15,8,4,9,11,20,15,56,44,,
FIFA World Cup,1403798400,Jun 26 2014 - 4:00pm,complete,Itaipava Arena Pernambuco,41876,USA,Germany,,3,2,2,1,2.71,0,1,1,0,0,0,,55,2,3,2,0,1,0,1,1,1,0,5,10,2,6,3,4,15,10,37,63,,
FIFA World Cup,1403812800,Jun 26 2014 - 8:00pm,complete,EstÃ¡dio Joaquim AmÃ©rico GuimarÃ£es,39311,Algeria,Russia,,3,1.5,0.5,1,0.67,1,1,2,1,0,1,60,6,3,4,3,0,2,0,1,2,0,2,9,10,7,5,2,5,16,13,43,57,,
FIFA World Cup,1403812800,Jun 26 2014 - 8:00pm,complete,Arena Corinthians,61397,South Korea,Belgium,,3,0.5,3,0.33,2.4,0,1,1,0,0,0,,77,7,4,1,0,1,1,1,0,1,1,16,13,7,8,9,5,16,11,54,46,,
FIFA World Cup,1403971200,Jun 28 2014 - 4:00pm,complete,EstÃ¡dio Governador MagalhÃ£es Pinto,57714,Brazil,Chile,,,2.33,2,1.57,1.75,1,1,2,2,1,1,18,32,9,5,4,0,3,0,0,4,2,1,20,10,8,4,12,6,28,21,54,46,,
FIFA World Cup,1403985600,Jun 28 2014 - 8:00pm,complete,Estadio Jornalista MÃ¡rio Filho (MaracanÃ£) (Rio de Janeiro- Rio de Janeiro),73804,Colombia,Uruguay,,,3,2,2.4,1.5,2,0,2,1,1,0,28;50,,3,5,1,0,2,0,0,1,0,2,9,16,6,8,3,8,18,17,51,49,,
FIFA World Cup,1404057600,Jun 29 2014 - 4:00pm,complete,EstÃ¡dio Governador PlÃ¡cido Aderaldo Castelo,58817,Netherlands,Mexico,,,3,2.33,2.43,1.75,2,1,3,0,0,0,88;90+4,48,10,2,0,0,3,0,0,0,0,3,12,12,5,6,7,6,6,11,58,42,,
FIFA World Cup,1404072000,Jun 29 2014 - 8:00pm,complete,Itaipava Arena Pernambuco,41242,Costa Rica,Greece,,,2.33,1.33,1.8,1.25,1,1,2,0,0,0,52,90+1,3,11,5,1,2,0,1,5,1,1,6,22,2,9,4,13,22,16,47,53,,
FIFA World Cup,1404144000,Jun 30 2014 - 4:00pm,complete,EstÃ¡dio Nacional de BrasÃ­lia (BrasÃ­lia- Distrito Federal),67882,France,Nigeria,,,2.33,1.33,2,1,2,0,2,0,0,0,79;90+2,,12,9,1,0,0,0,0,1,0,0,12,5,6,3,6,2,12,12,52,48,,
FIFA World Cup,1404158400,Jun 30 2014 - 8:00pm,complete,EstÃ¡dio JosÃ© Pinheiro Borda,43063,Germany,Algeria,,,2.33,1.33,2.71,1,2,1,3,0,0,0,"92,119",120+1,10,4,1,0,1,0,0,1,1,0,24,11,15,4,9,7,12,22,60,40,,
FIFA World Cup,1404230400,Jul 01 2014 - 4:00pm,complete,Arena Corinthians,63255,Argentina,Switzerland,,,3,2,2.29,1.5,1,0,1,0,0,0,118,,13,5,3,0,2,0,0,3,1,1,21,12,10,5,11,7,20,28,60,40,,
FIFA World Cup,1404244800,Jul 01 2014 - 8:00pm,complete,Arena Fonte Nova,51227,Belgium,USA,,,3,1.33,2.4,1,2,1,3,0,0,0,"93,105",107,19,4,1,0,1,0,1,0,1,0,33,13,19,6,14,7,26,11,49,51,,
FIFA World Cup,1404489600,Jul 04 2014 - 4:00pm,complete,Estadio Jornalista MÃ¡rio Filho (MaracanÃ£) (Rio de Janeiro- Rio de Janeiro),74240,France,Germany,,,2.5,2.5,2,2.71,0,1,1,1,0,1,,12,5,3,0,0,2,0,0,0,0,2,13,6,8,4,5,2,15,18,50,50,,
FIFA World Cup,1404504000,Jul 04 2014 - 8:00pm,complete,EstÃ¡dio Governador PlÃ¡cido Aderaldo Castelo,60342,Brazil,Colombia,,,2,3,1.57,2.4,2,1,3,1,1,0,7;68,80,4,6,2,0,2,0,0,2,0,2,12,9,5,4,7,5,27,22,45,55,,
FIFA World Cup,1404576000,Jul 05 2014 - 4:00pm,complete,EstÃ¡dio Nacional de BrasÃ­lia (BrasÃ­lia- Distrito Federal),68551,Argentina,Belgium,,,3,3,2.29,2.4,1,0,1,1,1,0,8,,3,4,1,0,2,0,0,1,0,2,5,11,2,3,3,8,11,13,47,53,,
FIFA World Cup,1404590400,Jul 05 2014 - 8:00pm,complete,Arena Fonte Nova,51179,Netherlands,Costa Rica,,,3,2,2.43,1.8,0,0,0,0,0,0,,,11,1,2,0,4,0,0,2,1,3,12,5,9,2,3,3,15,14,72,28,,
FIFA World Cup,1404849600,Jul 08 2014 - 8:00pm,complete,EstÃ¡dio Governador MagalhÃ£es Pinto,58141,Brazil,Germany,,,2.2,2.6,1.57,2.71,1,7,8,5,0,5,90,11;23;24;26;29;69;79,7,5,1,0,0,0,0,1,0,0,14,7,9,4,5,3,11,11,56,44,,
FIFA World Cup,1404936000,Jul 09 2014 - 8:00pm,complete,Arena Corinthians,63267,Netherlands,Argentina,,,2.6,3,2.43,2.29,0,0,0,0,0,0,,,4,4,2,0,1,0,1,1,0,1,7,8,3,5,4,3,16,9,52,48,,
FIFA World Cup,1405195200,Jul 12 2014 - 8:00pm,complete,EstÃ¡dio Nacional de BrasÃ­lia (BrasÃ­lia- Distrito Federal),68034,Brazil,Netherlands,,,1.83,2.33,1.57,2.43,0,3,3,2,0,2,,3;16;90+1,4,1,3,0,2,0,1,2,2,0,10,6,3,3,7,3,14,20,56,44,,
FIFA World Cup,1405278000,Jul 13 2014 - 7:00pm,complete,Estadio Jornalista MÃ¡rio Filho (MaracanÃ£) (Rio de Janeiro- Rio de Janeiro),74738,Germany,Argentina,,,2.67,2.67,2.71,2.29,1,0,1,0,0,0,113,,5,3,2,0,2,0,2,0,0,2,8,9,6,0,2,9,21,15,60,40,,
UEFA Euro Qualifiers,1410105600,Sep 07 2014 - 4:00pm,complete,Boris Paichadze Dinamo Arena,22000,Georgia,Republic of Ireland,,1,0,0,0.9,1.83,1,2,3,2,1,1,38,24;90,4,4,3,0,1,0,1,2,1,0,4,5,2,2,2,3,11,9,45,55,,
UEFA Euro Qualifiers,1410105600,Sep 07 2014 - 4:00pm,complete,Groupama ArÃ©na,20672,Hungary,Northern Ireland,,1,0,0,1.83,2.1,1,2,3,0,0,0,75,81;88,9,2,1,0,1,0,1,0,1,0,9,7,4,3,5,4,13,18,56,44,,
UEFA Euro Qualifiers,1410105600,Sep 07 2014 - 4:00pm,complete,Telia Parken,20141,Denmark,Armenia,,1,0,0,1.3,0.25,2,1,3,0,0,0,65;80,50,7,2,1,0,1,0,0,1,0,1,15,5,5,2,10,3,14,11,66,34,,
UEFA Euro Qualifiers,1410115500,Sep 07 2014 - 6:45pm,complete,Signal-Iduna-Park,60209,Germany,Scotland,,1,0,0,2.2,1.5,2,1,3,1,1,0,18;70,66,12,1,2,0,3,1,0,2,0,4,18,7,9,3,9,4,13,15,68,32,,
UEFA Euro Qualifiers,1410115500,Sep 07 2014 - 6:45pm,complete,EstÃ¡dio Do Algarve (SÃ£o JoÃ£o da Venda),1620,Gibraltar,Poland,,1,0,0,0,2.1,0,7,7,1,0,1,,11;48;50;53;58;86;90+2,3,9,1,0,2,0,0,1,2,0,4,15,2,7,2,8,8,8,36,64,,
UEFA Euro Qualifiers,1410115500,Sep 07 2014 - 6:45pm,complete,TÃ³rsvÃ¸llur,3300,Faroe Islands,Finland,,1,0,0,0.6,1.2,1,3,4,1,1,0,41,53;78;82,4,9,4,0,1,0,0,4,1,0,8,21,5,12,3,9,11,11,25,75,,
UEFA Euro Qualifiers,1410115500,Sep 07 2014 - 6:45pm,complete,Stadio Georgios KaraiskÃ¡ki,173,Greece,Romania,,1,0,0,0.6,2,0,1,1,1,0,1,,10,3,2,5,0,3,1,3,2,2,2,18,10,9,3,9,7,10,19,66,34,,
UEFA Euro Qualifiers,1410115500,Sep 07 2014 - 6:45pm,complete,EstÃ¡dio Municipal de Aveiro,23205,Portugal,Albania,,1,0,0,2.63,1.75,0,1,1,0,0,0,,52,10,2,1,0,6,0,0,1,3,3,20,2,6,2,14,0,8,14,69,31,,
UEFA Euro Qualifiers,1410192000,Sep 08 2014 - 4:00pm,complete,Arena Khimki,11236,Russia,Liechtenstein,,1,0,0,2,0.5,4,0,4,1,1,0,4;50;54;65,,10,1,0,0,2,0,0,0,2,0,24,5,11,0,13,5,14,7,61,39,,
UEFA Euro Qualifiers,1410201900,Sep 08 2014 - 6:45pm,complete,Stade Josy Barthel,3265,Luxembourg,Belarus,,1,0,0,0.4,1.1,1,1,2,1,1,0,42,78,3,7,5,0,2,0,4,1,0,2,7,16,2,6,5,10,14,11,40,60,,
UEFA Euro Qualifiers,1410201900,Sep 08 2014 - 6:45pm,complete,Estadio Ciudad de Valencia,18553,Spain,North Macedonia,,1,0,0,2.7,0.4,5,1,6,4,3,1,15;17;45+3;50;90+1,28,8,5,2,0,2,0,1,1,2,0,12,9,4,7,8,2,9,9,60,40,,
UEFA Euro Qualifiers,1410201900,Sep 08 2014 - 6:45pm,complete,NSK Olimpijs'kyj (Kyiv (Kiev)),38454,Ukraine,Slovakia,,1,0,0,1.92,2.2,0,1,1,1,0,1,,17,4,1,5,0,4,0,2,3,2,2,14,5,5,2,9,3,21,17,60,40,,
UEFA Euro Qualifiers,1410201900,Sep 08 2014 - 6:45pm,complete,A. Le Coq Arena,6561,Estonia,Slovenia,,1,0,0,1,1.42,1,0,1,0,0,0,86,,3,9,1,0,1,1,1,0,0,2,7,15,3,6,4,9,15,11,49,51,,
UEFA Euro Qualifiers,1410201900,Sep 08 2014 - 6:45pm,complete,Stadio Olimpico di Serravalle,986,San Marino,Lithuania,,1,0,0,0.1,1,0,2,2,2,0,2,,5;36,2,5,3,0,1,0,1,2,0,1,2,9,0,3,2,6,18,17,30,70,,
UEFA Euro Qualifiers,1410201900,Sep 08 2014 - 6:45pm,complete,St. Jakob-Park,35500,Switzerland,England,,1,0,0,2.1,3,0,2,2,0,0,0,,58;90+4,5,6,0,0,2,0,0,0,1,1,12,10,7,4,5,6,12,6,52,48,,
UEFA Euro Qualifiers,1410201900,Sep 08 2014 - 6:45pm,complete,Ernst-Happel-Stadion,48500,Austria,Sweden,,1,0,0,2.8,1.83,1,1,2,2,1,1,7,12,11,1,1,0,3,0,0,1,1,2,13,5,5,3,8,2,14,16,58,42,,
UEFA Euro Qualifiers,1410201900,Sep 08 2014 - 6:45pm,complete,Stadion Pod Goricom,8759,Montenegro,Moldova,,1,0,0,1.1,0.2,2,0,2,1,1,0,45+3;73,,,,2,0,2,0,1,1,1,1,,,,,,,,,,,,
UEFA Euro Qualifiers,1410278400,Sep 09 2014 - 4:00pm,complete,Astana Arena,10200,Kazakhstan,Latvia,,1,0,0,0.5,0.5,0,0,0,0,0,0,,,9,1,0,0,3,0,0,0,2,1,7,5,3,2,4,3,16,12,62,38,,
UEFA Euro Qualifiers,1410278400,Sep 09 2014 - 4:00pm,complete,Bakcell Arena,11000,Azerbaijan,Bulgaria,,1,0,0,0.6,1.1,1,2,3,1,0,1,54,14;87,4,5,3,0,1,0,2,1,0,1,5,9,2,4,3,5,18,12,,,,
UEFA Euro Qualifiers,1410288300,Sep 09 2014 - 6:45pm,complete,Generali Arena,17946,Czech Republic,Netherlands,,1,0,0,2.2,1.3,2,1,3,1,1,0,21;90+1,55,6,5,2,0,1,0,1,1,0,1,7,6,3,3,4,3,9,14,43,57,,
UEFA Euro Qualifiers,1410288300,Sep 09 2014 - 6:45pm,complete,LaugardalsvÃ¶llur,8811,Iceland,Turkey,,1,0,0,2,1.8,3,0,3,1,1,0,18;76;77,,6,5,2,0,3,1,1,1,1,3,13,12,6,6,7,6,11,9,,,,
UEFA Euro Qualifiers,1410288300,Sep 09 2014 - 6:45pm,complete,Estadi Nacional,3150,Andorra,Wales,,1,0,0,0,2.1,1,2,3,2,1,1,6,22;81,0,8,6,0,2,0,1,5,1,1,2,5,0,2,2,3,17,11,,,,
UEFA Euro Qualifiers,1410288300,Sep 09 2014 - 6:45pm,complete,Stadion Bilino Polje,12100,Bosnia-Herzegovina,Cyprus,,1,0,0,1.5,1.2,1,2,3,2,1,1,6,45;73,7,4,2,0,2,0,1,1,0,2,17,4,5,3,12,1,12,10,,,,
UEFA Euro Qualifiers,1410288300,Sep 09 2014 - 6:45pm,complete,Stadion Maksimir,8333,Croatia,Malta,,1,0,0,2.1,0.2,2,0,2,0,0,0,46;81,,17,1,1,0,1,1,1,0,1,1,24,5,5,3,19,2,11,10,,,,
UEFA Euro Qualifiers,1410288300,Sep 09 2014 - 6:45pm,complete,Ullevaal Stadion,26265,Norway,Italy,,1,0,0,1.58,2.4,0,2,2,1,0,1,,16;62,3,6,2,0,2,0,0,2,1,1,5,11,0,6,5,5,13,10,,,,
UEFA Euro Qualifiers,1412880300,Oct 09 2014 - 6:45pm,complete,Borisov Arena,10512,Belarus,Ukraine,,2,1,0,1.1,1.92,0,2,2,0,0,0,,82;90+3,6,6,1,0,2,0,0,1,0,2,6,6,4,2,2,4,17,16,,,,
UEFA Euro Qualifiers,1412880300,Oct 09 2014 - 6:45pm,complete,Telekom Arena (Skopje),11500,North Macedonia,Luxembourg,,2,0,1,0.4,0.4,3,2,5,3,1,2,20;66;90+2,39;44,4,5,3,0,5,0,2,1,0,5,14,11,7,7,7,4,15,18,,,,
