tournament,timestamp,date_GMT,status,stadium_name,home_team_name,away_team_name,home_min_traded_price,home_max_traded_price,home_weighted_average_price,home_back_volume,draw_min_traded_price,draw_max_traded_price,draw_weighted_average_price,draw_back_volume,away_min_traded_price,away_max_traded_price,away_weighted_average_price,away_back_volume
FIFA World Cup,1403020800,Jun 17 2014 - 4:00pm,complete,EstÃ¡dio Governador MagalhÃ£es Pinto,Belgium,Algeria,1.33,1.58,1.38,4195376.77,4.1,5.8,5.41,156685.93,8,13,11.24,124295.6
FIFA World Cup,1403031600,Jun 17 2014 - 7:00pm,complete,EstÃ¡dio Governador PlÃ¡cido Aderaldo Castelo,Brazil,Mexico,1.1,1.43,1.38,4014614.13,5,6.4,5.57,272365.12,9,16,10.59,216164.31
FIFA World Cup,1403042400,Jun 17 2014 - 10:00pm,complete,Arena Pantanal,Russia,South Korea,1.8,2.4,1.88,4932303.52,3.15,3.9,3.73,353263.03,3.65,5.4,5.01,353340.66
FIFA World Cup,1403107200,Jun 18 2014 - 4:00pm,complete,EstÃ¡dio JosÃ© Pinheiro Borda,Australia,Netherlands,8.2,21,16.41,102575.93,4.3,8,7.21,118833.42,1.21,1.5,1.25,3895200.76
FIFA World Cup,1403118000,Jun 18 2014 - 7:00pm,complete,Estadio Jornalista MÃ¡rio Filho (MaracanÃ£) (Rio de Janeiro- Rio de Janeiro),Spain,Chile,1.52,1.89,1.61,3837071.48,3.45,4.9,4.63,322187.73,4.4,7.4,5.95,388079.45
FIFA World Cup,1403128800,Jun 18 2014 - 10:00pm,complete,Arena da AmazÃ´nia (Manaus- Amazonas),Cameroon,Croatia,3.95,7.2,5.9,274413.64,3.35,4.4,4.03,281064.45,1.59,2.24,1.71,3581866.69
FIFA World Cup,1403193600,Jun 19 2014 - 4:00pm,complete,EstÃ¡dio Nacional de BrasÃ­lia (BrasÃ­lia- Distrito Federal),Colombia,Ivory Coast,1.8,2.3,2.1,1182776.75,3.2,3.8,3.67,271047.89,3.55,4.6,3.99,278537.93
FIFA World Cup,1403204400,Jun 19 2014 - 7:00pm,complete,Arena Corinthians,Uruguay,England,2.34,4.1,3.92,462817.8,2.72,4.1,3.84,372924.83,1.97,3.7,2.04,5616119.68
FIFA World Cup,1403215200,Jun 19 2014 - 10:00pm,complete,Arena das Dunas,Japan,Greece,2.18,2.82,2.44,1734963.75,3.25,3.65,3.48,304148.16,2.78,3.9,3.29,590700.3
FIFA World Cup,1403280000,Jun 20 2014 - 4:00pm,complete,Itaipava Arena Pernambuco,Italy,Costa Rica,1.24,1.65,1.6,3355330.5,3.9,6.6,4.19,205133.3,6,16,7.37,210074.1
FIFA World Cup,1403290800,Jun 20 2014 - 7:00pm,complete,Arena Fonte Nova,Switzerland,France,3.75,5.5,5.02,319360.87,3.35,3.95,3.69,334346.13,1.79,2.32,1.88,3169131.86
FIFA World Cup,1403301600,Jun 20 2014 - 10:00pm,complete,EstÃ¡dio Joaquim AmÃ©rico GuimarÃ£es,Honduras,Ecuador,5,7.2,6.18,184707.92,3.45,4.7,4.38,190449.39,1.6,1.94,1.64,1942916.13
FIFA World Cup,1403366400,Jun 21 2014 - 4:00pm,complete,EstÃ¡dio Governador MagalhÃ£es Pinto,Argentina,Iran,1.12,1.3,1.16,2931225.24,7,12.5,9.75,86178.26,16,40,28.62,44485.54
FIFA World Cup,1403377200,Jun 21 2014 - 7:00pm,complete,EstÃ¡dio Governador PlÃ¡cido Aderaldo Castelo,Germany,Ghana,1.28,1.6,1.36,3429702.38,4.1,6.8,5.88,140188.36,8.2,14,10.19,173050.04
FIFA World Cup,1403388000,Jun 21 2014 - 10:00pm,complete,Arena Pantanal,Nigeria,Bosnia-Herzegovina,2.82,5.7,4.64,315175.53,3.15,4.1,3.78,289333.86,1.76,2.84,1.92,2726387.87
FIFA World Cup,1403452800,Jun 22 2014 - 4:00pm,complete,Estadio Jornalista MÃ¡rio Filho (MaracanÃ£) (Rio de Janeiro- Rio de Janeiro),Belgium,Russia,1.95,2.46,2.24,2493792.76,3.3,3.85,3.47,384923.21,3.45,4.7,3.73,677846.14
FIFA World Cup,1403463600,Jun 22 2014 - 7:00pm,complete,EstÃ¡dio JosÃ© Pinheiro Borda,South Korea,Algeria,1.98,2.68,2.58,951952.01,3.25,3.8,3.4,254341.38,3,3.9,3.15,458443.94
FIFA World Cup,1403474400,Jun 22 2014 - 10:00pm,complete,Arena da AmazÃ´nia (Manaus- Amazonas),USA,Portugal,4.2,7.2,4.79,562250.4,3.4,4.5,4.13,387347.76,1.61,2,1.83,4023849.38
FIFA World Cup,1403539200,Jun 23 2014 - 4:00pm,complete,EstÃ¡dio Joaquim AmÃ©rico GuimarÃ£es,Australia,Spain,7,44,8.42,203647.1,4.2,9.4,5.27,163462.72,1.17,1.55,1.45,2257587.26
FIFA World Cup,1403539200,Jun 23 2014 - 4:00pm,complete,Arena Corinthians,Netherlands,Chile,2.18,2.86,2.72,456511.71,2.96,3.75,3.65,152881.75,2.62,3.9,2.74,515864.57
FIFA World Cup,1403553600,Jun 23 2014 - 8:00pm,complete,EstÃ¡dio Nacional de BrasÃ­lia (BrasÃ­lia- Distrito Federal),Cameroon,Brazil,12,46,27.33,58142.61,5.8,12,10.28,65487.38,1.12,1.33,1.16,3648550.01
FIFA World Cup,1403553600,Jun 23 2014 - 8:00pm,complete,Itaipava Arena Pernambuco,Croatia,Mexico,2.36,3,2.83,798621.88,3.15,3.95,3.6,303579.84,2.62,3.25,2.7,604304.73
FIFA World Cup,1403625600,Jun 24 2014 - 4:00pm,complete,EstÃ¡dio Governador MagalhÃ£es Pinto,Costa Rica,England,4.2,10.5,4.69,512357.21,3.7,5.1,4.13,235628.63,1.46,1.99,1.83,2806851.85
FIFA World Cup,1403625600,Jun 24 2014 - 4:00pm,complete,Arena das Dunas,Italy,Uruguay,2.26,2.98,2.61,909735.3,2.72,3.75,3.56,300747.89,2.72,3.75,2.92,510047.51
FIFA World Cup,1403640000,Jun 24 2014 - 8:00pm,complete,Arena Pantanal,Japan,Colombia,3.1,5,3.7,748100.51,2.04,4.2,3.97,294655.05,1.82,3.5,2.08,2650560.56
FIFA World Cup,1403640000,Jun 24 2014 - 8:00pm,complete,EstÃ¡dio Governador PlÃ¡cido Aderaldo Castelo,Greece,Ivory Coast,3,4.5,4.17,342964.2,3.1,4.5,3.77,218932.63,1.86,2.84,2.02,1920215.76
FIFA World Cup,1403712000,Jun 25 2014 - 4:00pm,complete,EstÃ¡dio JosÃ© Pinheiro Borda,Nigeria,Argentina,8,13.5,10.01,123438.16,3.8,6.4,4.27,198762.01,1.19,1.63,1.49,2612741.29
FIFA World Cup,1403712000,Jun 25 2014 - 4:00pm,complete,Arena Fonte Nova,Bosnia-Herzegovina,Iran,1.4,2.36,2.21,1023473.74,3.35,5.4,3.73,209000.97,3.35,9.6,3.6,391575.02
FIFA World Cup,1403726400,Jun 25 2014 - 8:00pm,complete,Arena da AmazÃ´nia (Manaus- Amazonas),Honduras,Switzerland,6.2,10,7.9,159961.6,3.55,5,4.75,95021.44,1.42,2.1,1.51,1501953.47
FIFA World Cup,1403726400,Jun 25 2014 - 8:00pm,complete,Estadio Jornalista MÃ¡rio Filho (MaracanÃ£) (Rio de Janeiro- Rio de Janeiro),Ecuador,France,3.35,6.4,5.97,198425.8,3.2,4.6,4.34,128000.94,1.61,2.46,1.66,2216438.27
FIFA World Cup,1403798400,Jun 26 2014 - 4:00pm,complete,EstÃ¡dio Nacional de BrasÃ­lia (BrasÃ­lia- Distrito Federal),Portugal,Ghana,1.66,2.4,1.93,3317771.31,3.4,5.4,4.82,257754.61,3.05,5.8,3.69,521916.39
FIFA World Cup,1403798400,Jun 26 2014 - 4:00pm,complete,Itaipava Arena Pernambuco,USA,Germany,2.8,17,9.93,274192.97,2.26,7.8,3.07,876885.25,1.25,2.04,1.71,2798253.42
FIFA World Cup,1403812800,Jun 26 2014 - 8:00pm,complete,EstÃ¡dio Joaquim AmÃ©rico GuimarÃ£es,Algeria,Russia,3.55,7.6,3.8,455970.87,3.3,4.3,3.86,210195.34,1.55,2.32,2.08,1873384.6
FIFA World Cup,1403812800,Jun 26 2014 - 8:00pm,complete,Arena Corinthians,South Korea,Belgium,4.5,7.6,4.97,180669.89,3.25,4.9,3.73,152030.27,1.56,2.06,1.89,2157746.81
FIFA World Cup,1403971200,Jun 28 2014 - 4:00pm,complete,EstÃ¡dio Governador MagalhÃ£es Pinto,Brazil,Chile,1.52,1.73,1.57,3900460.5,4.1,4.9,4.66,360667.87,4.3,7.4,6.73,300742.64
FIFA World Cup,1403985600,Jun 28 2014 - 8:00pm,complete,Estadio Jornalista MÃ¡rio Filho (MaracanÃ£) (Rio de Janeiro- Rio de Janeiro),Colombia,Uruguay,1.98,2.42,2.16,3605179.03,3.35,3.65,3.46,426588.68,2.62,4.7,3.97,625112.3
FIFA World Cup,1404057600,Jun 29 2014 - 4:00pm,complete,EstÃ¡dio Governador PlÃ¡cido Aderaldo Castelo,Netherlands,Mexico,2,2.26,2.18,3577624.84,3.35,3.6,3.47,446032.3,3.5,4.5,3.96,645760.6
FIFA World Cup,1404072000,Jun 29 2014 - 8:00pm,complete,Itaipava Arena Pernambuco,Costa Rica,Greece,2.3,2.86,2.75,2578668.86,3.1,3.75,3.2,913035.9,2.84,3.6,3.08,1161383.47
FIFA World Cup,1404144000,Jun 30 2014 - 4:00pm,complete,EstÃ¡dio Nacional de BrasÃ­lia (BrasÃ­lia- Distrito Federal),France,Nigeria,1.42,1.59,1.45,4173090.95,4.3,5,4.83,194689.93,6.6,10.5,9.38,171469.7
FIFA World Cup,1404158400,Jun 30 2014 - 8:00pm,complete,EstÃ¡dio JosÃ© Pinheiro Borda,Germany,Algeria,1.3,1.37,1.34,4754692.36,5.6,6.4,5.93,261696.44,10.5,13.5,11.87,179865.62
FIFA World Cup,1404230400,Jul 01 2014 - 4:00pm,complete,Arena Corinthians,Argentina,Switzerland,1.47,1.61,1.58,3075570.49,4.2,5,4.34,187000.72,6.8,10,7.39,226841.47
FIFA World Cup,1404244800,Jul 01 2014 - 8:00pm,complete,Arena Fonte Nova,Belgium,USA,1.81,2.12,2.05,2867531.22,3.4,3.9,3.48,557739.02,4.2,5.5,4.41,535754.53
FIFA World Cup,1404489600,Jul 04 2014 - 4:00pm,complete,Estadio Jornalista MÃ¡rio Filho (MaracanÃ£) (Rio de Janeiro- Rio de Janeiro),France,Germany,2.5,4,2.95,1472303.27,3.2,3.95,3.25,626110.63,2,2.94,2.81,1625862.7
FIFA World Cup,1404504000,Jul 04 2014 - 8:00pm,complete,EstÃ¡dio Governador PlÃ¡cido Aderaldo Castelo,Brazil,Colombia,1.75,1.96,1.8,6281794.22,3.65,4.2,3.92,482642.89,4.2,5.5,5.2,959475.46
FIFA World Cup,1404576000,Jul 05 2014 - 4:00pm,complete,EstÃ¡dio Nacional de BrasÃ­lia (BrasÃ­lia- Distrito Federal),Argentina,Belgium,1.4,2.28,2.06,2667223.63,3.3,3.85,3.46,491162.41,3.1,4.7,4.39,513688.09
FIFA World Cup,1404590400,Jul 05 2014 - 8:00pm,complete,Arena Fonte Nova,Netherlands,Costa Rica,1.47,1.58,1.56,3739592.95,4.2,4.8,4.33,204177.09,6.6,8.6,7.89,273785.96
FIFA World Cup,1404849600,Jul 08 2014 - 8:00pm,complete,EstÃ¡dio Governador MagalhÃ£es Pinto,Brazil,Germany,2.46,2.98,2.73,3342603.73,3.15,3.7,3.28,899755.72,2.68,3.25,3.02,2393966.38
FIFA World Cup,1404936000,Jul 09 2014 - 8:00pm,complete,Arena Corinthians,Netherlands,Argentina,3.05,3.55,3.3,1554159.6,3.25,3.6,3.29,653442.02,2.4,2.62,2.53,2567838.35
FIFA World Cup,1405195200,Jul 12 2014 - 8:00pm,complete,EstÃ¡dio Nacional de BrasÃ­lia (BrasÃ­lia- Distrito Federal),Brazil,Netherlands,2.12,3,2.23,3924945.74,3.3,4,3.77,599621.47,2.4,3.8,3.51,1253649.83
FIFA World Cup,1405278000,Jul 13 2014 - 7:00pm,complete,Estadio Jornalista MÃ¡rio Filho (MaracanÃ£) (Rio de Janeiro- Rio de Janeiro),Germany,Argentina,2,2.54,2.4,6856591.57,3.15,3.95,3.34,1092726.3,3.05,4,3.47,2270538.99
Copa America,1434220200,Jun 11 2015 - 8:30pm,complete,Estadio Nacional Julio Martínez Prádanos,Chile,Ecuador,1.46,1.6,1.6,268699.67,5,4.1,4.2,47271.8,8,8,7.55,22533.21
Copa America,1434297600,Jun 12 2015 - 8:30pm,complete,Estadio Sausalito,Mexico,Bolivia,1.47,1.64,1.67,345318.05,4.3,3.9,4.02,37433.13,7.4,7.4,6.58,28779.32
Copa America,1434306600,Jun 13 2015 - 4:00pm,complete,Estadio Regional Calvo y Bascuñán,Uruguay,Jamaica,1.3,1.41,1.38,286475.42,6.4,5,5.37,28098.96,12,12,12.34,9314.67
Copa America,1434391200,Jun 13 2015 - 6:30pm,complete,Estadio La Portada,Argentina,Paraguay,1.51,1.37,1.35,715982.9,4.6,5.5,5.52,35662.4,11,11,12.08,17327.34
Copa America,1434400200,Jun 14 2015 - 4:00pm,complete,Estadio CODELCO-El Teniente,Colombia,Venezuela,1.46,1.52,1.49,238514.29,4.8,4.5,4.6,26716.1,8.4,8.4,9.09,18843
Copa America,1434477600,Jun 14 2015 - 6:30pm,complete,Estadio Municipal Bicentenario Germán Be...,Brazil,Peru,1.25,1.4,1.4,844257.74,7.4,5.2,5.23,71020.83,10.5,10.5,11.14,37960.81
Copa America,1434486600,Jun 15 2015 - 6:00pm,complete,Estadio Elías Figueroa Brander,Ecuador,Bolivia,1.3,1.55,1.61,353889.42,3.75,4.3,4.08,52470.33,8.2,8.2,7.42,29251.32
Copa America,1434574800,Jun 15 2015 - 8:30pm,complete,Estadio Nacional Julio Martínez Prádanos,Chile,Mexico,1.85,1.64,1.63,515688.84,4,3.85,3.99,54400.99,7.4,7.4,7.53,27435.28
Copa America,1434659400,Jun 16 2015 - 6:00pm,complete,Estadio Regional Calvo y Bascuñán,Paraguay,Jamaica,1.65,1.78,1.8,287868.64,3.6,3.7,3.74,40676.86,6,6,5.71,26068.03
Copa America,1434736800,Jun 16 2015 - 8:30pm,complete,Estadio La Portada,Argentina,Uruguay,1.46,1.65,1.62,591144.13,4.6,3.95,4.05,46051.29,7,7,7.12,29806.3
Copa America,1434745800,Jun 17 2015 - 9:00pm,complete,Estadio Monumental David Arellano,Brazil,Colombia,1.63,2.18,2.09,518481.01,3.1,3.4,3.53,77792.19,4,4,4.22,52755.53
Copa America,1434816000,Jun 18 2015 - 8:30pm,complete,Estadio Elías Figueroa Brander,Peru,Venezuela,2.18,2.88,2.89,46501.62,3.4,3.3,3.31,46725.78,2.82,2.82,2.85,56735.95
Copa America,1434825000,Jun 19 2015 - 6:00pm,complete,Estadio CODELCO-El Teniente,Mexico,Ecuador,2.4,2.6,2.54,223090.97,3.45,3.8,3.75,76819.59,2.88,2.88,2.92,135104.57
Copa America,1434902400,Jun 19 2015 - 8:30pm,complete,Estadio Nacional Julio Martínez Prádanos,Chile,Bolivia,1.04,1.25,1.3,916328.63,6,6.4,5.85,43752.92,19,19,14.29,28383.68
Copa America,1434911400,Jun 20 2015 - 4:00pm,complete,Estadio La Portada,Uruguay,Paraguay,1.6,2.28,2.36,204975.16,3.45,3.1,3.12,101077.78,4.2,4.2,3.96,61519.14
Copa America,1435177800,Jun 20 2015 - 6:30pm,complete,Estadio Sausalito,Argentina,Jamaica,1.06,1.14,1.15,641937.18,13.5,10.5,10.04,13490.18,50,50,34.6,8486.76
Copa America,1435264200,Jun 21 2015 - 4:00pm,complete,Estadio Municipal Bicentenario Germán Be...,Colombia,Peru,1.31,1.69,1.69,398757.67,3.55,3.75,3.85,73199.52,7.2,7.2,6.91,39239.89
Copa America,1435350600,Jun 21 2015 - 6:30pm,complete,Estadio Monumental David Arellano,Brazil,Venezuela,1.09,1.63,1.61,752095.7,6,3.7,3.9,244783.12,8.4,8.4,8.22,86047.99
Copa America,1435429800,Jun 24 2015 - 8:30pm,complete,Estadio Nacional Julio Martínez Prádanos,Chile,Uruguay,1.9,1.76,1.79,714942.07,3.8,3.75,3.74,91916.09,6.2,6.2,5.72,75362.82
Copa America,1435609800,Jun 25 2015 - 8:30pm,complete,Estadio Municipal Bicentenario Germán Be...,Bolivia,Peru,4.3,5.7,5.54,58202.83,3.2,3.35,3.37,85915.79,1.91,1.91,1.92,497338.98
Copa America,1435696200,Jun 26 2015 - 8:30pm,complete,Estadio Sausalito,Argentina,Colombia,2.04,1.88,1.88,977140.51,3.6,3.55,3.54,153358.14,5.4,5.4,5.44,97077.29
Copa America,1435955400,Jun 27 2015 - 6:30pm,complete,Estadio Municipal Alcaldesa Ester Roa Re...,Brazil,Paraguay,1.72,1.63,1.65,847204.13,3.85,3.95,3.87,95376.9,7.4,7.4,7.06,66876.01
Copa America,1436029200,Jun 29 2015 - 8:30pm,complete,Estadio Nacional Julio Martínez Prádanos,Chile,Peru,1.58,1.47,1.5,655774.25,3.75,4.6,4.45,75889.54,9.6,9.6,9.15,43220.76
Copa America,1464978600,Jun 30 2015 - 8:30pm,complete,Estadio Municipal Alcaldesa Ester Roa Re...,Argentina,Paraguay,1.51,1.37,1.35,715982.9,4.6,5.5,5.52,35662.4,11,11,12.08,17327.34
Copa America,1465057800,Jul 4 2015 - 5:00pm,complete,Estadio Nacional Julio Martínez Prádanos,Chile,Argentina,3.4,4.1,3.59,189575.06,3.25,4.3,3.46,208325.06,2,2.5,2.31,801117.1
Copa America,1465059600,Jul 3 2015 - 8:30pm,complete,Estadio Municipal Alcaldesa Ester Roa Re...,Peru,Paraguay,2.32,2.8,2.58,169020.24,3.5,4,3.69,98225.65,2.66,3.25,2.93,92488.41
Copa America,1465066800,Jun 3 2016 - 6:30pm,complete,Levi's Stadium,USA,Colombia,2.38,3.55,3.48,49968.28,2.98,3.3,3.22,46845.41,2.42,2.42,2.49,113492.94
Copa America,1465142400,Jun 4 2016 - 5:00pm,complete,Camping World Stadium,Costa Rica,Paraguay,2.74,4.1,4.14,35600.59,2.96,3.05,3.08,42934.97,2.3,2.3,2.32,93241.42
Copa America,1465146000,Jun 4 2016 - 4:30pm,complete,CenturyLink Field,Haiti,Peru,9.2,6.8,7.09,15915.75,7.2,3.8,3.87,18341.34,1.7,1.7,1.68,158850.94
Copa America,1465239600,Jun 4 2016 - 7:00pm,complete,Rose Bowl,Brazil,Ecuador,1.56,2.04,1.95,234597.22,3.95,3.5,3.6,33809.33,4.6,4.6,4.89,40985.78
Copa America,1465239600,Jun 5 2016 - 4:00pm,complete,Soldier Field,Jamaica,Venezuela,3.15,4.7,4.81,50764.73,3.45,3.5,3.42,60850.97,2.02,2.02,1.99,244440.91
Copa America,1465326000,Jun 5 2016 - 5:00pm,complete,State Farm Stadium,Mexico,Uruguay,2.88,2.58,2.55,133456.9,3.25,3,3.18,66546.37,3.6,3.6,3.46,60470.64
Copa America,1465327800,Jun 6 2016 - 7:00pm,complete,Camping World Stadium,Panama,Bolivia,2.68,2.08,2.1,231906.5,3.05,3.15,3.19,84719.58,4.9,4.9,4.8,49839.94
Copa America,1465412400,Jun 7 2016 - 7:00pm,complete,Soldier Field,USA,Costa Rica,2.42,1.88,1.88,266584.73,1.01,3.65,3.6,54829.91,5.3,5.3,5.3,61110.48
Copa America,1465414200,Jun 6 2016 - 7:00pm,complete,Levi's Stadium,Argentina,Chile,1.9,2.32,2.3,351930.87,3.45,3.1,3.2,146036.42,4.1,4.1,3.99,83647.75
Copa America,1465498800,Jun 8 2016 - 7:30pm,complete,Camping World Stadium,Brazil,Haiti,1.2,1.11,1.13,1105090.18,8.6,12.5,11.54,27121.19,50,50,41.06,8638.54
Copa America,1465500600,Jun 7 2016 - 7:30pm,complete,Rose Bowl,Colombia,Paraguay,1.92,1.9,1.96,343357.11,4.1,3.4,3.37,64711.83,5.4,5.4,5.13,52489.09
UEFA Euro,1465585200,Jun 10 2016 - 7:00pm,complete,Stade de France,France,Romania,1.11,1.38,1.38,2512028.47,5,5.2,5.15,235643.1,12,12,12.73,129250.27
Copa America,1465585200,Jun 8 2016 - 7:00pm,complete,State Farm Stadium,Ecuador,Peru,1.94,1.82,1.84,262857.86,3.25,3.7,3.69,84818.8,5.6,5.6,5.47,53123.07
Copa America,1465590600,Jun 9 2016 - 7:30pm,complete,Lincoln Financial Field,Uruguay,Venezuela,1.4,1.69,1.71,621659.07,3.75,4,3.94,72594.84,6.4,6.4,6.02,63750.97
UEFA Euro,1465650000,Jun 11 2016 - 1:00pm,complete,Stade Bollaert-Delelis,Albania,Switzerland,5.4,5.5,5.53,163386.08,3.45,3.3,3.35,225296.55,1.95,1.95,1.93,927685.71
UEFA Euro,1465660800,Jun 11 2016 - 4:00pm,complete,Stade Matmut-Atlantique,Wales,Slovakia,2.24,3.15,3.09,397572.16,3.05,3.05,3.06,253531.92,2.78,2.78,2.87,429976.06
UEFA Euro,1465671600,Jun 11 2016 - 7:00pm,complete,Stade VÃ©lodrome (Marseille),England,Russia,2.2,1.01,1.85,4153047.28,3.15,3.65,3.58,401143.64,1000,1000,5.54,311040.23
Copa America,1465671600,Jun 9 2016 - 7:00pm,complete,Rose Bowl,Mexico,Jamaica,1.37,1.33,1.28,382954.38,5.2,6.4,6.49,20896.17,11.5,11.5,14.1,20574.15
Copa America,1465675200,Jun 10 2016 - 7:00pm,complete,Gillette Stadium,Chile,Bolivia,1.22,1.17,1.19,414104.99,6.4,9,8.58,7921.75,25,25,22.3,5663.3
UEFA Euro,1465736400,Jun 12 2016 - 1:00pm,complete,Parc des Princes,Turkey,Croatia,1.03,4.3,4.34,189019.27,3.45,3.4,3.42,215315.34,2.12,2.12,2.09,824320.3
UEFA Euro,1465747200,Jun 12 2016 - 4:00pm,complete,Allianz Riviera,Poland,Northern Ireland,2.32,1.85,1.8,1768279.74,3.2,3.45,3.54,236726.55,6.2,6.2,6.28,200773.01
Copa America,1465756200,Jun 10 2016 - 8:30pm,complete,Soldier Field,Argentina,Panama,1.22,1.31,1.28,584020.78,7.4,5.9,6.35,37006.13,15.5,15.5,16.04,15305.49
UEFA Euro,1465758000,Jun 12 2016 - 7:00pm,complete,Stade Pierre-Mauroy,Germany,Ukraine,1.64,1.55,1.55,3902621.01,4.6,4.4,4.35,246875.45,7.8,7.8,7.84,205997.51
Copa America,1465763400,Jun 11 2016 - 7:00pm,complete,Lincoln Financial Field,USA,Paraguay,2.06,2.08,2.07,180584.71,3.2,3.55,3.61,37913.8,4.3,4.3,4.19,39722.06
UEFA Euro,1465822800,Jun 13 2016 - 1:00pm,complete,Stadium Municipal (Toulouse),Spain,Czech Republic,1.58,1.01,1.46,2305404.68,4,1000,4.68,182422.49,1000,1000,9.73,116754.04
UEFA Euro,1465833600,Jun 13 2016 - 4:00pm,complete,Stade de France,Republic of Ireland,Sweden,3.2,3.8,3.9,300083.59,3.25,3.15,3.15,190750.05,2.38,2.38,2.36,876722.83
UEFA Euro,1465844400,Jun 13 2016 - 7:00pm,complete,Groupama Stadium,Belgium,Italy,2.4,2.82,2.77,752892.75,3.35,3.1,3.09,238623.9,3.1,3.1,3.18,467777.56
Copa America,1465844400,Jun 11 2016 - 8:00pm,complete,NRG Stadium,Colombia,Costa Rica,1.9,1.7,1.66,299234.65,3.45,3.85,4.05,27020.62,6.6,6.6,6.59,28542.18
Copa America,1465844400,Jun 12 2016 - 6:30pm,complete,MetLife Stadium,Ecuador,Haiti,1.35,1.12,1.12,543566.86,5.1,13,13.01,8368.4,38,38,34.64,3697.09
UEFA Euro,1465920000,Jun 14 2016 - 4:00pm,complete,Stade Matmut-Atlantique,Austria,Hungary,1.83,1.68,1.75,1072787.68,4,3.75,3.7,154607.54,7.4,7.4,6.26,107280.85
UEFA Euro,1465930800,Jun 14 2016 - 7:00pm,complete,Stade Geoffroy-Guichard,Portugal,Iceland,1.8,1.44,1.46,3712735.13,3.45,4.8,4.64,259692.85,9.4,9.4,9.86,182107.83
Copa America,1465930800,Jun 13 2016 - 7:00pm,complete,NRG Stadium,Mexico,Venezuela,1.6,1.7,1.66,246060.63,4.2,3.9,4.11,48540.96,6.4,6.4,6.58,33396.58
